CMTE_ID,CMTE_NM,CMTE_TP,CMTE_DSGN,CMTE_FILING_FREQ,TTL_RECEIPTS,TRANS_FROM_AFF,IND_ITEM_CONTRIB,IND_UNITEM_CONTRIB,IND_CONTRIB,POL_PTY_CONTRIB,OTHER_POL_CMTE_CONTRIB,CAND_CONTRIB,TTL_CONTRIB,TRANF_FROM_OTHER_AUTH_CMTE,LOANS_MADE_BY_CAND,ALL_OTHER_LOANS,TTL_LOANS,OFFSETS_TO_OP_EXPEND,OFFSETS_TO_FNDRSG,OFFSETS_TO_LEGAL_ACCTG,TTL_OFFSETS_TO_OP_EXPEND,OTHER_RECEIPTS,TTL_DISBURSEMENTS,TRANF_TO_OTHER_AUTH_CMTE,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,TTL_LOAN_REPAY,IND_REFUND,POL_PTY_CMTE_REFUND,OTHER_POL_CMTE_REFUND,TTL_CONTRIB_REFUND,OTHER_DISBURSEMENTS,SHARED_FED_OP_EXPEND,SHARED_NONFED_OP_EXPEND,SHARED_FED_ACTVY,SHARED_NONFED_ACTVY,FNDRSG_DISBURSEMENTS,EXEMPT_LEGAL_ACCTG_DISB,MAIL_PHONE_CAMPAIGNS,DIRECT_CAND_SUPPORT,COORD_EXPEND_BY_PTY_CMTE,LOAN_REPAY_TO_CAND,LOANS_MADE,IND_EXPEND,PTY_COORD_EXPEND,NONFED_SHARE_ALLOC_EXPEND,CONTRIB_TO_OTHER_CMTE,TTL_CONTRIB_TO_OTHER_CMTE,CVG_END_DT,OFFICE_SEGMENT,TOTAL_DEM_DISB,TOTAL_REP_DISB,IMBALANCE_SCORE,PTY_GROUP,CANDIDATE_DIRECT_RATE,NON_CANDIDATE_RATE,ATTACK_RATE,Q4_CONCENTRATION,MEGADONOR_RECEIPTS,MEGADONOR_DEPENDENCY,DEPENDENCY_CLASS,TOTAL_TRANS_AMT,TRANSACTION_COUNT,AVG_TRANSACTION_SIZE,EFFICIENCY_CLASS
C00322958,MONTANA SHOOTING SPORTS ASSN POLITICAL COMMITTEE,O,U,Q,2515.81,0.0,2410.0,0.0,0.0,0.0,0.0,8448.0,0.0,0.0,0.0,0.0,0.0,19425.51,13493.32,0.0,0.0,0.0,0.0,0.0,8448.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00381517,DEMOCRATIC ADVANCEMENT PAC,O,U,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00389858,FAIR AND BALANCED PAC,O,U,Q,0.2,0.0,0.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,3981.02,3736.22,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00405878,AMERICANS FOR LEGAL IMMIGRATION PAC,O,U,Q,128228.63,0.0,128228.63,0.0,0.0,0.0,0.0,140674.71,0.0,0.0,0.0,0.0,0.0,18359.02,7351.14,412.5,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00419242,TEXAS RIGHT TO LIFE POLITICAL ACTION C,O,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7956.81,0.0,0.0,0.0,0.0,0.0,12084.36,4127.55,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00427344,DRAFT GORE,U,U,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00430876,WORKING FOR US POLITICAL ACTION COMMITTEE INC,O,U,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.92,0.0,0.0,0.0,0.0,0.0,340.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06/30/2023,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00435818,YOUNG VOTERS,O,U,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00447235,ASIAN PACIFIC AMERICANS FOR PROGRESS PAC,O,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.32,404.32,18000.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00452847,SCHLEP LABS,O,U,Q,550506.01,0.0,50404.0,500000.0,0.0,0.0,0.0,320884.08,0.0,0.0,0.0,0.0,0.0,51.16,229673.09,187444.14,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,0.0,0.0,,NON_PARTISAN,1.0,0.0,0,0.0,,0.0,BROAD_BASED,500000.0,2.0,250000.0,EFFICIENT
C00455923,FEDUP POLITICAL ACTION COMMITTEE AKA FEDUP PAC,O,U,Q,225721.25,0.0,223697.09,0.0,0.0,0.0,0.0,232023.03,0.0,99.0,0.0,0.0,0.0,-1828.18,5344.02,596986.91,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,0.0,164190.0,1.0,REP,1.0,0.0,0,0.0,0.0,0.0,BROAD_BASED,82095.0,32.0,2565.46875,MODERATE
C00469890,PATRIOT MAJORITY PAC,O,U,Q,12827.07,0.0,25.0,0.0,0.0,0.0,0.0,15488.34,0.0,0.0,0.0,0.0,0.0,6994.31,4333.04,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00473918,WOMEN VOTE,O,U,M,32504380.87,0.0,14606558.58,17151567.33,0.0,0.0,0.0,30215766.33,0.0,1000.0,100000.0,0.0,0.0,77511.4,2366125.94,0.0,0.0,337250.0,26409657.61,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,22383938.0,30662380.0,0.15606063365227346,BIPARTISAN,1.0,0.0,0,0.22924725845335336,26200252.0,0.9915639534243427,MEGADONOR_DEPENDENT,41528229.0,165.0,251686.23636363636,EFFICIENT
C00479824,KEEP LIVINGSTON GREAT,O,U,M,165.24,0.0,0.0,0.0,0.0,0.0,0.0,12013.9,0.0,0.0,0.0,0.0,0.0,13075.66,1227.0,0.0,0.0,0.0,11822.88,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,0.0,23612.0,1.0,REP,0.9985722598892994,0.0014277401107005705,0,0.028036591563611723,0.0,0.0,BROAD_BASED,11806.0,37.0,319.0810810810811,INEFFICIENT
C00483693,SIERRA CLUB INDEPENDENT ACTION,O,B,M,787317.99,0.0,362139.99,425178.0,0.0,0.0,0.0,508273.43,0.0,0.0,0.0,0.0,0.0,21683.25,300727.81,0.0,0.0,2500.0,41336.14,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,80290.0,2066.0,0.9498275778328233,DEM,1.0,0.0,0,0.40052685832092544,0.0,0.0,BROAD_BASED,43825.0,252.0,173.90873015873015,INEFFICIENT
C00483883,RETIRED AMERICANS PAC,O,U,Q,10615832.14,650000.0,9805747.91,0.0,0.0,0.0,0.0,10852823.35,150000.0,225590.22,0.0,0.0,0.0,1567138.87,1330147.66,297701.1,0.0,0.0,4187460.44,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,3095804.0,5279108.0,0.2606957541762827,BIPARTISAN,1.0,0.0,0,0.5982749522000795,3502950.0,0.8365341629858319,MEGADONOR_DEPENDENT,4987456.0,26.0,191825.23076923078,EFFICIENT
C00484253,UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION WORKING FAMILIES ADVOCACY PROJECT,O,B,Q,7377000.0,0.0,7377000.0,0.0,0.0,0.0,0.0,7360000.0,0.0,0.0,0.0,0.0,0.0,4939.33,21939.33,0.0,0.0,4650000.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,0.0,0.0,,NON_PARTISAN,1.0,0.0,0,0.2006823198876179,,0.0,BROAD_BASED,3891500.0,28.0,138982.14285714287,EFFICIENT
C00484642,SMP,O,U,Q,389968278.37,6072.0,288693798.73,73679013.21,0.0,0.0,0.0,391182162.25,312850000.0,217040.68,0.0,0.0,15000000.0,10384553.09,9170669.21,25000000.0,0.0,12938338.33,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,0.0,0.0,,NON_PARTISAN,1.0,0.0,0,0.5216108682204184,,0.0,BROAD_BASED,386542977.0,179.0,2159457.972067039,EFFICIENT
C00485102,WOLF PAC,O,U,Q,217111.48,0.0,216907.4,0.0,0.0,0.0,0.0,234423.73,0.0,0.0,0.0,0.0,0.0,23354.46,6042.21,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00485854,LOUISIANA TRUTH PAC,O,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,1757.83,1595.83,10329.25,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00486845,LCV VICTORY FUND,O,U,M,84323489.3,0.0,74587598.46,7933176.88,0.0,0.0,0.0,84289699.85,0.0,253000.0,5000.0,0.0,0.0,559553.14,593342.59,0.0,0.0,27332000.0,46685018.06,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,72194788.0,26613018.0,0.4613174995505922,BIPARTISAN,1.0,0.0,0,0.4775930083026197,45838810.0,0.9268959011453609,MEGADONOR_DEPENDENT,80136108.0,946.0,84710.47357293869,EFFICIENT
C00487363,AMERICAN CROSSROADS,O,U,Q,62899589.74,0.0,307550.0,62574697.16,0.0,0.0,0.0,62664046.03,0.0,0.0,0.0,0.0,0.0,169629.37,405173.08,0.0,0.0,1300000.0,60267523.21,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,120106178.0,428766.0,0.9928856149798352,DEM,1.0,0.0,0,0.6263765710568724,59869826.0,0.9934019797611554,MEGADONOR_DEPENDENT,61567472.0,158.0,389667.5443037975,EFFICIENT
C00487470,CLUB FOR GROWTH ACTION,O,U,M,88619558.43,13650.33,76578639.09,9550912.0,0.0,0.0,0.0,89787608.27,0.0,310000.0,550000.0,0.0,0.0,1363712.12,195662.28,0.0,0.0,58106500.0,18476694.08,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,10961862.0,26387928.0,0.41301613744013016,BIPARTISAN,1.0,0.0,0,0.24107803953785711,14956977.0,0.8095109154517941,MEGADONOR_DEPENDENT,77693925.0,476.0,163222.53151260506,EFFICIENT
C00487827,BLUE AMERICA PAC INDEPENDENT EXPENDITURE COMMITTEE,O,U,Q,5657.46,0.0,3892.52,0.0,0.0,0.0,0.0,11625.51,0.0,0.0,0.0,0.0,0.0,32961.7,26993.65,0.0,0.0,0.0,2816.41,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,5622.0,0.0,1.0,DEM,0.9980791149015946,0.0019208850984053782,0,0.0,150.0,0.05336179295624333,BROAD_BASED,2811.0,11.0,255.54545454545453,INEFFICIENT
C00488338,ADPAC INDEPENDENT EXPENDITURES COMMITTEE,O,B,M,181806.3,181806.3,0.0,0.0,0.0,0.0,0.0,184312.42,0.0,0.0,0.0,0.0,0.0,3551.11,1044.99,715.75,0.0,0.0,97417.12,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,0.0,194832.0,1.0,REP,1.0,0.0,0,0.0016522535354563028,0.0,0.0,BROAD_BASED,278607.0,24.0,11608.625,EFFICIENT
C00488403,TEXAS PATRIOTS PAC,O,U,Q,28808.01,0.0,28808.01,0.0,0.0,0.0,0.0,19785.92,16325.0,0.0,0.0,0.0,0.0,3728.2,12619.57,0.0,0.0,0.0,650.28,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,0.0,1292.0,1.0,REP,1.0,0.0,0,0.9674365770541462,0.0,0.0,BROAD_BASED,15846.0,13.0,1218.923076923077,MODERATE
C00488429,CITIZENS FOR STRENGTH AND SECURITY PAC,O,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43110.34,0.0,0.0,0.0,0.0,0.0,81948.89,38838.55,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00488437,CONCERNED TAXPAYERS OF AMERICA,O,U,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER,,,,,0.0,0.0,0,0.0,,0.0,BROAD_BASED,0.0,0.0,0.0,INEFFICIENT
C00488486,COMMUNICATIONS WORKERS OF AMERICA - WORKING VOICES,O,B,M,15145982.29,15000.0,15128462.29,0.0,0.0,0.0,0.0,15164272.47,0.0,6521.6,0.0,0.0,0.0,74870.25,56580.07,0.0,0.0,10845020.0,436168.95,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,867074.0,5260.0,0.9879403989756217,DEM,1.0,0.0,0,0.26282057942101106,0.0,0.0,BROAD_BASED,11571187.0,70.0,165302.67142857143,EFFICIENT
C00488494,NEW PROSPERITY FOUNDATION; THE,O,U,Q,150013.13,0.0,5.0,0.0,0.0,0.0,0.0,154419.95,0.0,0.0,0.0,0.0,0.0,7789.68,3382.86,850.0,0.0,0.0,8000.0,0.0,0.0,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,OTHER,16000.0,0.0,1.0,DEM,1.0,0.0,0,1.0,0.0,0.0,BROAD_BASED,8000.0,1.0,8000.0,MODERATE
