CMTE_ID,CMTE_NM,CANDIDATE_DIRECTED_SPENDING,CANDIDATE_DIRECT_RATE,NON_CANDIDATE_RATE,ATTACK_SPENDING,SUPPORT_SPENDING,ATTACK_RATE,Q4_SPENDING,Q4_CONCENTRATION
C00322958,MONTANA SHOOTING SPORTS ASSN POLITICAL COMMITTEE,0.0,0.0,0.0,0,0,0,0.0,0.0
C00381517,DEMOCRATIC ADVANCEMENT PAC,0.0,0.0,0.0,0,0,0,0.0,0.0
C00389858,FAIR AND BALANCED PAC,0.0,0.0,0.0,0,0,0,0.0,0.0
C00405878,AMERICANS FOR LEGAL IMMIGRATION PAC,0.0,0.0,0.0,0,0,0,0.0,0.0
C00419242,TEXAS RIGHT TO LIFE POLITICAL ACTION C,0.0,0.0,0.0,0,0,0,0.0,0.0
C00427344,DRAFT GORE,0.0,0.0,0.0,0,0,0,0.0,0.0
C00430876,WORKING FOR US POLITICAL ACTION COMMITTEE INC,0.0,0.0,0.0,0,0,0,0.0,0.0
C00435818,YOUNG VOTERS,0.0,0.0,0.0,0,0,0,0.0,0.0
C00447235,ASIAN PACIFIC AMERICANS FOR PROGRESS PAC,0.0,0.0,0.0,0,0,0,0.0,0.0
C00452847,SCHLEP LABS,500000.0,1.0,0.0,0,0,0,0.0,0.0
C00455923,FEDUP POLITICAL ACTION COMMITTEE AKA FEDUP PAC,82095.0,1.0,0.0,0,0,0,0.0,0.0
C00469890,PATRIOT MAJORITY PAC,0.0,0.0,0.0,0,0,0,0.0,0.0
C00473918,WOMEN VOTE,41528229.0,1.0,0.0,0,0,0,9391870.0,0.22924725845335336
C00479824,KEEP LIVINGSTON GREAT,11806.0,0.9985722598892994,0.0014277401107005705,0,0,0,331.0,0.028036591563611723
C00483693,SIERRA CLUB INDEPENDENT ACTION,43825.0,1.0,0.0,0,0,0,17485.0,0.40052685832092544
C00483883,RETIRED AMERICANS PAC,4987456.0,1.0,0.0,0,0,0,2983870.0,0.5982749522000795
C00484253,UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION WORKING FAMILIES ADVOCACY PROJECT,3891500.0,1.0,0.0,0,0,0,500000.0,0.2006823198876179
C00484642,SMP,386542977.0,1.0,0.0,0,0,0,192965000.0,0.5216108682204184
C00485102,WOLF PAC,0.0,0.0,0.0,0,0,0,0.0,0.0
C00485854,LOUISIANA TRUTH PAC,0.0,0.0,0.0,0,0,0,0.0,0.0
C00486845,LCV VICTORY FUND,80136108.0,1.0,0.0,0,0,0,31901315.0,0.4775930083026197
C00487363,AMERICAN CROSSROADS,61567472.0,1.0,0.0,0,0,0,38564422.0,0.6263765710568724
